site_name,x,y,head
o1,3272.13,9539.41,30.200365242477467
o2,4136.86,9403.37,29.747774149742774
o3,951.46,9224.5,32.83380474001896
o4,2136.19,9198.63,31.598362423726456
o5,286.0,8668.91,33.2786975148048
o6,2558.89,7862.98,29.778405188534702
o7,3115.81,7064.84,27.967704306312083
o8,2327.91,6892.79,28.808697324745044
o9,4260.53,6685.63,27.77811775251491
o10,3346.02,6465.08,27.417151757353235
o11,2187.71,5787.75,28.14083629700935
o12,4549.67,5087.47,26.627813739676384
o13,3577.33,4879.17,25.623791921686394
o14,379.22,4770.42,32.07560353355318
o15,2428.3,3766.31,27.02036281089382
o16,4123.04,3491.2,25.144055679255942
o17,1011.64,3384.44,29.957247139574793
o18,1968.57,3317.58,28.30628522225779
o19,2856.55,2863.07,25.925862343101066
o20,4964.28,2581.96,24.966619610273582
o21,2214.5,2241.29,27.37587875924879
o22,2344.64,1501.08,26.401573622262948
o23,4420.98,1481.28,23.718951140107595
o24,1227.77,1033.25,28.155057263586194
o25,2893.91,166.39,23.41685471729728
