site_name,x,y,head
o1,648.1,9909.16,32.99786844124083
o2,1575.6,9896.44,32.30874203798909
o3,3892.15,9684.98,29.86883387308086
o4,4662.65,9678.11,29.86055388121119
o5,3444.71,9502.91,29.964521278819046
o6,2599.72,9468.0,31.08446018409813
o7,4268.91,9437.24,29.774411575917807
o8,270.14,9392.22,33.14756211866033
o9,2164.77,9209.28,31.56334245622591
o10,3063.57,9050.55,30.19194070618414
o11,1399.72,9013.61,32.42645947211606
o12,4472.6,8549.13,29.30786900190267
o13,4951.2,8465.57,29.313190552556573
o14,2429.69,8403.71,30.655091049742417
o15,4261.47,8260.82,29.025366733335748
o16,429.42,8185.16,33.40083826969804
o17,4328.11,8080.63,28.91280420818986
o18,4897.73,8048.16,29.022076197100354
o19,2054.52,7746.6,30.312170781128778
o20,4090.05,7749.67,28.523572175487537
o21,3109.87,7691.03,28.59078909011409
o22,2862.04,7640.33,28.915224782891467
o23,3360.93,7637.06,28.25687228233615
o24,3111.78,7561.43,28.267655754737838
o25,2985.89,7512.19,28.377441960991373
o26,3236.06,7509.87,28.066276582629012
o27,3108.55,7435.81,27.63887222805143
o28,2939.02,7388.72,28.289283459671463
o29,3162.09,7388.02,27.58072555701763
o30,3415.24,7387.51,27.917673351022138
o31,2815.2,7384.86,28.629204132876108
o32,3060.21,7386.14,27.68885587623457
o33,3283.74,7385.97,27.881880172597903
o34,3116.41,7332.96,27.612148257290826
o35,2987.0,7263.92,28.11495724983688
o36,3240.95,7262.93,27.822133528246525
o37,3111.9,7210.5,27.917302354694225
o38,3360.47,7140.66,27.779015759924906
o39,2861.93,7133.67,28.369026589772766
o40,3114.53,7086.59,27.966387401610934
o41,4335.02,6922.13,28.001831229650218
o42,291.93,6899.99,33.75559272262306
o43,2383.83,6572.86,28.532134470562035
o44,3749.22,6464.15,27.155023315778728
o45,3366.06,6210.45,27.193149986956463
o46,4372.44,6034.33,27.316721707245925
o47,3912.29,5395.82,26.406874869501515
o48,779.99,5341.66,32.76055763359815
o49,2086.57,5214.09,28.006404796470594
o50,3944.13,4716.52,25.87729529709587
o51,4625.33,4716.18,26.38009641004995
o52,2104.6,4307.24,28.228641433548567
o53,2392.44,4045.64,27.585996474575524
o54,2720.32,4035.44,26.927053818235603
o55,3576.79,3966.01,24.848221111319823
o56,2063.18,3887.84,28.163463349680626
o57,2591.69,3815.68,26.936511351572715
o58,1809.1,3798.3,28.726516188071493
o59,2885.74,3711.8,26.336118882150295
o60,2219.25,3691.78,27.468722546167022
o61,2674.42,3611.43,26.65602010010026
o62,4280.91,3586.61,25.374564299612505
o63,1858.23,3429.83,28.56279649876249
o64,236.59,3303.63,30.47862472389316
o65,2248.64,3293.78,27.614233913662932
o66,2801.61,3294.42,26.30446281502042
o67,2456.66,3131.75,27.153077438435222
o68,4844.2,3092.22,25.33665938376663
o69,1198.24,3033.87,29.481502453908153
o70,1250.94,3026.65,29.38480641957645
o71,1332.15,3025.76,29.253859088711916
o72,1224.39,2995.92,29.412491555301475
o73,1267.96,2995.83,29.33346566679979
o74,1160.6,2990.01,29.51278207234327
o75,1375.97,2967.39,29.094076782896153
o76,1245.11,2943.13,29.32013366550874
o77,1325.57,2932.96,29.099143970230163
o78,1463.39,2933.48,29.020435387049247
o79,1407.72,2925.34,29.00792398551256
o80,1270.59,2900.28,29.2328337192128
o81,1461.5,2878.44,28.995374458274764
o82,3691.69,2871.2,23.893772182718358
o83,1287.79,2858.2,29.174224303523765
o84,1408.6,2852.64,28.986473791897147
o85,1163.19,2841.21,29.442268883955332
o86,1344.81,2808.45,29.100840216628878
o87,4768.66,2792.72,25.109813087833118
o88,1239.11,2780.6,29.316412127204106
o89,4182.31,2181.75,24.13553920006442
o90,3645.05,1884.2,22.888654093422716
o91,962.71,1648.43,29.07215683878043
o92,2839.21,1615.3,22.546983071947107
o93,4283.72,1295.3,23.439271807059182
o94,1384.26,1093.86,28.07566535031583
o95,3500.25,936.25,22.347470699170607
o96,4549.5,886.3,23.389564671934906
o97,1036.1,848.14,28.06913291065597
o98,2345.81,405.17,25.66716124188355
o99,3237.57,123.33,22.404307855279594
o100,2420.84,91.15,24.93692983633237
