site_name,x,y,head
o1,171.87,9968.17,33.134731837952714
o2,1811.83,9866.1,32.07719466682096
o3,4848.31,9728.43,29.870706777628122
o4,3272.13,9539.41,30.200365242477467
o5,4426.96,9428.42,29.782066841961335
o6,4136.86,9403.37,29.747774149742774
o7,1522.66,9399.44,32.33470636255224
o8,3713.39,9377.77,29.66427176338508
o9,951.46,9224.5,32.83380474001896
o10,2136.19,9198.63,31.598362423726456
o11,3140.81,9187.03,30.16835460154891
o12,1305.96,8938.32,32.51890062468607
o13,3871.34,8929.92,29.360540146827045
o14,2086.54,8821.73,31.492560262681383
o15,286.0,8668.91,33.2786975148048
o16,3515.0,8662.05,29.174282846644186
o17,2825.97,8564.43,30.170894093295
o18,993.87,8520.1,32.85445695539934
o19,4047.06,8186.64,28.855353610878925
o20,2622.0,8174.18,30.082574551381214
o21,4452.55,8014.35,28.91282444250903
o22,2558.89,7862.98,29.778405188534702
o23,3012.08,7831.92,28.992007132549503
o24,3556.61,7632.59,28.10941083916789
o25,2587.95,7407.69,29.091759031332263
o26,4801.44,7321.74,28.468274341385154
o27,3115.81,7064.84,27.967704306312083
o28,664.11,7004.36,33.75332089344947
o29,4657.57,6929.37,28.123219684145
o30,2327.91,6892.79,28.808697324745044
o31,4260.53,6685.63,27.77811775251491
o32,3346.02,6465.08,27.417151757353235
o33,3738.3,6346.34,27.04294026296311
o34,4535.81,6208.98,27.520417387696703
o35,2744.33,6180.96,27.97299014574968
o36,2390.91,6135.8,28.247579311249186
o37,4658.95,6012.49,27.39448295158019
o38,2187.71,5787.75,28.14083629700935
o39,3058.88,5704.11,27.240025808043992
o40,595.68,5674.1,33.109122718651776
o41,4787.37,5648.61,27.12875561070316
o42,3830.98,5567.63,26.456188689675805
o43,4140.42,5567.14,26.779965070720298
o44,4563.28,5445.28,26.918521899801615
o45,4549.67,5087.47,26.627813739676384
o46,214.0,5072.38,32.47864253334236
o47,3024.45,5064.44,26.803158388811394
o48,4965.58,4938.06,26.59914430406483
o49,3577.33,4879.17,25.623791921686394
o50,379.22,4770.42,32.07560353355318
o51,891.76,4646.66,31.691465090743144
o52,4595.51,4419.37,26.162045222672997
o53,831.38,4255.43,31.028805491568676
o54,2162.1,4073.53,28.06340914380534
o55,4550.08,3964.29,25.82550799804018
o56,3787.42,3961.94,25.007782685265344
o57,1189.37,3785.29,29.958943087340856
o58,2428.3,3766.31,27.02036281089382
o59,4470.78,3675.87,25.585062335397488
o60,3004.75,3583.13,25.995665696021216
o61,4123.04,3491.2,25.144055679255942
o62,1011.64,3384.44,29.957247139574793
o63,1968.57,3317.58,28.30628522225779
o64,4328.46,3256.35,25.19951001243576
o65,1672.73,3253.84,28.91304948774649
o66,409.75,3190.9,30.33152974823552
o67,2856.55,2863.07,25.925862343101066
o68,4504.85,2837.06,25.038851419744347
o69,4894.11,2821.31,25.155175861887408
o70,1718.99,2789.55,28.727688606993446
o71,610.8,2604.92,29.88596059574758
o72,4964.28,2581.96,24.966619610273582
o73,3431.79,2553.67,24.08554247883006
o74,4741.58,2420.23,24.786053154853743
o75,4221.49,2319.35,24.33842285346158
o76,2214.5,2241.29,27.37587875924879
o77,1496.76,2162.32,28.890064144393047
o78,2464.37,2132.21,26.4592276907916
o79,4855.49,2050.6,24.430445312886143
o80,3463.07,2032.78,23.41185034770856
o81,493.62,1921.0,29.597170557050084
o82,2880.36,1885.95,24.38799444498294
o83,1833.9,1777.89,28.063109490919285
o84,3552.06,1638.06,22.76868616136701
o85,2104.69,1626.23,27.32806787223335
o86,2344.64,1501.08,26.401573622262948
o87,4420.98,1481.28,23.718951140107595
o88,3325.82,1435.0,23.06390081307304
o89,4090.87,1332.27,23.21684759203257
o90,1227.77,1033.25,28.155057263586194
o91,3636.53,1001.68,22.073013976178448
o92,2384.49,917.64,26.071736725395716
o93,1899.12,840.9,27.119359700998544
o94,2776.25,744.15,24.637707041354627
o95,1537.55,634.53,27.36185019869538
o96,3778.41,635.48,22.11886217526647
o97,4174.02,627.99,22.815117810286765
o98,3270.53,439.82,22.719454536867204
o99,2893.91,166.39,23.41685471729728
o100,1869.59,117.11,26.24156144558696
