site_name,x,y,head
o1,648.1,9909.16,32.99786844124083
o2,2599.72,9468.0,31.08446018409813
o3,4897.73,8048.16,29.022076197100354
o4,2862.04,7640.33,28.915224782891467
o5,3360.93,7637.06,28.25687228233615
o6,3108.55,7435.81,27.63887222805143
o7,3162.09,7388.02,27.58072555701763
o8,3060.21,7386.14,27.68885587623457
o9,3116.41,7332.96,27.612148257290826
o10,3360.47,7140.66,27.779015759924906
o11,2861.93,7133.67,28.369026589772766
o12,291.93,6899.99,33.75559272262306
o13,3366.06,6210.45,27.193149986956463
o14,2591.69,3815.68,26.936511351572715
o15,2885.74,3711.8,26.336118882150295
o16,2219.25,3691.78,27.468722546167022
o17,236.59,3303.63,30.47862472389316
o18,2456.66,3131.75,27.153077438435222
o19,4844.2,3092.22,25.33665938376663
o20,1332.15,3025.76,29.253859088711916
o21,1325.57,2932.96,29.099143970230163
o22,1461.5,2878.44,28.995374458274764
o23,1344.81,2808.45,29.100840216628878
o24,2839.21,1615.3,22.546983071947107
o25,3237.57,123.33,22.404307855279594
